year,month,mday,tavg
1995,1,1,3.29
1995,1,2,3.54
1995,1,3,1.94
1995,1,4,2.72
1995,1,5,4.51
1995,1,6,6.41
1995,1,7,8.79
1995,1,8,9.23
1995,1,9,6.24
1995,1,10,3.76
1995,1,11,1.89
1995,1,12,3.43
1995,1,13,2.72
1995,1,14,1.47
1995,1,15,2.35
1995,1,16,3.71
1995,1,17,5.43
1995,1,18,5.99
1995,1,19,2.95
1995,1,20,4.68
1995,1,21,6.55
1995,1,22,4.22
1995,1,23,2.94
1995,1,24,3.7
1995,1,25,6.29
1995,1,26,3.88
1995,1,27,3.19
1995,1,28,4.01
1995,1,29,4.53
1995,1,30,3.9
1995,1,31,3.43
1995,2,1,1.51
1995,2,2,0.84
1995,2,3,1.74
1995,2,4,2.0
1995,2,5,1.32
1995,2,6,4.58
1995,2,7,6.45
1995,2,8,7.3
1995,2,9,8.73
1995,2,10,7.45
1995,2,11,8.1
1995,2,12,7.1
1995,2,13,6.3
1995,2,14,6.67
1995,2,15,5.42
1995,2,16,5.09
1995,2,17,5.35
1995,2,18,5.39
1995,2,19,6.56
1995,2,20,6.21
1995,2,21,3.99
1995,2,22,4.71
1995,2,23,5.33
1995,2,24,6.29
1995,2,25,8.56
1995,2,26,6.81
1995,2,27,8.5
1995,2,28,3.91
1995,3,1,6.67
1995,3,2,9.8
1995,3,3,7.39
1995,3,4,5.42
1995,3,5,8.41
1995,3,6,12.44
1995,3,7,15.47
1995,3,8,13.6
1995,3,9,9.79
1995,3,10,9.81
1995,3,11,11.22
1995,3,12,9.33
1995,3,13,9.54
1995,3,14,10.76
1995,3,15,12.15
1995,3,16,7.96
1995,3,17,4.29
1995,3,18,7.99
1995,3,19,11.73
1995,3,20,13.71
1995,3,21,17.0
1995,3,22,17.72
1995,3,23,11.83
1995,3,24,8.23
1995,3,25,7.01
1995,3,26,10.04
1995,3,27,13.45
1995,3,28,11.51
1995,3,29,10.86
1995,3,30,10.72
1995,3,31,10.47
1995,4,1,10.78
1995,4,2,7.38
1995,4,3,8.28
1995,4,4,11.13
1995,4,5,15.4
1995,4,6,15.67
1995,4,7,15.82
1995,4,8,19.57
1995,4,9,11.69
1995,4,10,9.42
1995,4,11,11.68
1995,4,12,15.11
1995,4,13,14.02
1995,4,14,13.34
1995,4,15,13.14
1995,4,16,15.25
1995,4,17,14.29
1995,4,18,12.74
1995,4,19,12.45
1995,4,20,14.7
1995,4,21,18.19
1995,4,22,18.54
1995,4,23,15.09
1995,4,24,11.35
1995,4,25,14.55
1995,4,26,15.24
1995,4,27,17.38
1995,4,28,18.21
1995,4,29,16.4
1995,4,30,16.14
1995,5,1,19.1
1995,5,2,16.99
1995,5,3,15.94
1995,5,4,15.21
1995,5,5,18.15
1995,5,6,20.38
1995,5,7,21.68
1995,5,8,23.84
1995,5,9,22.23
1995,5,10,16.31
1995,5,11,14.56
1995,5,12,17.25
1995,5,13,22.2
1995,5,14,16.5
1995,5,15,17.67
1995,5,16,21.14
1995,5,17,20.76
1995,5,18,19.02
1995,5,19,21.33
1995,5,20,19.32
1995,5,21,19.43
1995,5,22,21.11
1995,5,23,22.68
1995,5,24,21.16
1995,5,25,22.37
1995,5,26,22.43
1995,5,27,21.34
1995,5,28,23.23
1995,5,29,21.6
1995,5,30,21.7
1995,5,31,21.52
1995,6,1,21.88
1995,6,2,25.91
1995,6,3,23.91
1995,6,4,22.18
1995,6,5,24.69
1995,6,6,23.6
1995,6,7,20.5
1995,6,8,20.33
1995,6,9,20.77
1995,6,10,22.4
1995,6,11,20.82
1995,6,12,22.13
1995,6,13,22.06
1995,6,14,23.51
1995,6,15,21.46
1995,6,16,22.45
1995,6,17,21.32
1995,6,18,27.58
1995,6,19,27.84
