srad,RH,wind,prec,tmax,tmin,year,month,mday
116.75,68.04136,2.421997,0.060058594,5.75,0.820007324,1995,1,1
35,87.88758,1.4899979,15.780029,4.829986572,2.25,1995,1,2
33,87.32048,4.451996,6.1799927,2.920013428,0.959991455,1995,1,3
133.25,68.76492,4.013996,0,5.239990234,0.209991455,1995,1,4
139.25,61.76353,3.8879967,0,7.910003662,1.100006104,1995,1,5
137.5,68.9105,2.0339966,0,10.67999268,2.140014648,1995,1,6
138.5,70.122536,1.8019981,0,14.08999634,3.5,1995,1,7
137,68.292114,2.0599976,0,13.92999268,4.529998779,1995,1,8
135.25,64.82907,4.2319984,0,9.769989014,2.720001221,1995,1,9
37,78.75696,3.6639977,1.019989,5.369995117,2.160003662,1995,1,10
36.5,92.13945,2.3799973,6.420044,2.380004883,1.399993896,1995,1,11
86.25,75.26266,3.6639977,0,5.25,1.609985352,1995,1,12
142.75,47.389046,3.3619957,0,5.859985352,-0.410003662,1995,1,13
141.75,53.695835,2.1759987,0,3.929992676,-0.980010986,1995,1,14
62,75.98002,0.9379959,0,3.970001221,0.730010986,1995,1,15
141.75,74.70387,1.9939957,0,6.75,0.670013428,1995,1,16
131.75,72.715065,1.9559975,0,9.519989014,1.339996338,1995,1,17
38.5,83.135345,3.2399979,0.35998535,7.459991455,4.529998779,1995,1,18
37.75,89.92173,1.9999962,1.5,4.049987793,1.850006104,1995,1,19
150.5,78.807365,2.3999977,9.600037,8.010009766,1.359985352,1995,1,20
22.75,91.1843,4.2059975,17.339996,8.089996338,5.010009766,1995,1,21
38.75,90.51678,4.529999,7.5,5.739990234,2.700012207,1995,1,22
95.5,70.61123,1.7219963,0.060058594,5.829986572,0.049987793,1995,1,23
151.5,73.54109,1.6559982,0,7.640014648,-0.239990234,1995,1,24
151,70.930954,1.355999,0.83999634,11.54000854,1.029998779,1995,1,25
76.5,70.66208,4.341999,0.90005493,6.339996338,1.410003662,1995,1,26
155.5,68.24443,2.1279984,0,5.809997559,0.570007324,1995,1,27
158,55.16508,1.6279984,0,6.760009766,1.260009766,1995,1,28
154.5,65.39402,2.0599976,0,7.549987793,1.510009766,1995,1,29
156.25,72.3623,1.159996,0,7.040008545,0.760009766,1995,1,30
149.5,71.77326,1.949997,0,6.959991455,-0.089996338,1995,1,31
160.5,68.588394,3.0959969,0,3.75,-0.730010986,1995,2,1
162.5,70.00805,2.869999,0,3.119995117,-1.440002441,1995,2,2
126,72.08357,1.4859962,0,4.299987793,-0.820007324,1995,2,3
102,60.509308,4.345997,0.060058594,5.260009766,-1.260009766,1995,2,4
179.75,56.737656,3.001999,0,4.190002441,-1.559997559,1995,2,5
179.25,56.596577,2.2419968,0,8.950012207,0.209991455,1995,2,6
179,59.466118,1.9179955,0,11.83999634,1.059997559,1995,2,7
45.5,79.80882,1.5859985,0,9.389984131,5.209991455,1995,2,8
172.5,70.46467,2.6259956,0.060058594,13.35998535,4.109985352,1995,2,9
184.5,73.246414,3.3379974,0,11.57998657,3.329986572,1995,2,10
42,83.10785,2.9139977,5.400055,9.799987793,6.410003662,1995,2,11
47.25,88.05656,2.9579964,0.960022,8.239990234,5.970001221,1995,2,12
42.5,84.894936,1.7779961,0,8.579986572,4.029998779,1995,2,13
106,85.13142,1.5639954,0.3000183,9.970001221,3.369995117,1995,2,14
32.25,85.84472,1.1219978,0,8.019989014,2.820007324,1995,2,15
119,84.524475,2.2499962,0.060058594,8.950012207,1.220001221,1995,2,16
143.75,71.927,3.041996,5.2200623,8.730010986,1.959991455,1995,2,17
47.25,83.84454,3.817997,7.019989,6.239990234,4.549987793,1995,2,18
46.25,85.981995,3.3099976,0.17999268,7.700012207,5.410003662,1995,2,19
138,73.70106,3.463997,0,10.01000977,2.399993896,1995,2,20
60.75,73.93235,3.1179962,0,6,1.970001221,1995,2,21
